epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.5361,0.5066,0.863,0.9098,0.7039,0.9098,0.9122,0.9565,0.1964,0.0861,0.5378,0.0861,0.2365,0.2335,0.2573,0.2727
1,0.6318,0.6162,0.7277,0.7452,0.6802,0.7452,0.7098,0.75,0.4643,0.3822,0.5766,0.3822,0.2358,0.2307,0.2498,0.2836
2,0.6628,0.6598,0.6619,0.6752,0.6649,0.6752,0.6149,0.6522,0.6607,0.579,0.6267,0.579,0.2393,0.2342,0.2372,0.2893
3,0.6601,0.6667,0.643,0.6476,0.6544,0.6667,0.6338,0.6196,0.6607,0.6528,0.6417,0.6196,0.2418,0.2371,0.2301,0.2909
4,0.6478,0.66,0.632,0.6345,0.6436,0.66,0.6687,0.625,0.6964,0.6973,0.6718,0.625,0.2452,0.241,0.2205,0.2934
5,0.6332,0.6555,0.6321,0.6268,0.6369,0.6555,0.7093,0.6413,0.6964,0.7162,0.6908,0.6413,0.2478,0.2438,0.2127,0.2958
6,0.6105,0.6377,0.6305,0.6262,0.6262,0.6377,0.7699,0.6848,0.6429,0.7228,0.7051,0.6429,0.2494,0.2478,0.2034,0.2994
7,0.5818,0.6109,0.6424,0.6368,0.618,0.6424,0.8388,0.7446,0.6786,0.6831,0.7362,0.6786,0.2494,0.2512,0.1936,0.3058
8,0.5665,0.6048,0.6388,0.6298,0.61,0.6388,0.8682,0.7826,0.6429,0.702,0.7489,0.6429,0.2475,0.2526,0.1892,0.3107
9,0.5611,0.6072,0.6254,0.613,0.6017,0.6254,0.8745,0.7772,0.7321,0.7313,0.7788,0.7313,0.2453,0.2547,0.186,0.314
10,0.5495,0.5986,0.6246,0.6025,0.5938,0.6246,0.8882,0.7772,0.7143,0.7588,0.7846,0.7143,0.2433,0.2572,0.1816,0.3178
11,0.5392,0.5892,0.622,0.5953,0.5864,0.622,0.8991,0.788,0.7143,0.7739,0.7938,0.7143,0.2419,0.2609,0.1743,0.3229
12,0.5198,0.5765,0.6292,0.5952,0.5802,0.6292,0.9254,0.837,0.6964,0.7673,0.8065,0.6964,0.2401,0.2645,0.1656,0.3298
13,0.5072,0.566,0.6231,0.5904,0.5717,0.6231,0.9337,0.8533,0.7321,0.7748,0.8235,0.7321,0.2369,0.2666,0.161,0.3355
14,0.4973,0.5624,0.6188,0.5818,0.5651,0.6188,0.938,0.8533,0.7143,0.7815,0.8217,0.7143,0.234,0.269,0.1552,0.3418
15,0.4922,0.5616,0.6129,0.5666,0.5583,0.6129,0.9365,0.8587,0.75,0.8051,0.8376,0.75,0.2303,0.2723,0.1513,0.346
16,0.4873,0.5631,0.605,0.5562,0.5529,0.605,0.942,0.8533,0.7321,0.8193,0.8367,0.7321,0.2267,0.2751,0.1488,0.3494
17,0.481,0.5592,0.5979,0.5455,0.5459,0.5979,0.944,0.8315,0.7321,0.8316,0.8348,0.7321,0.2236,0.2786,0.145,0.3529
18,0.4727,0.5524,0.5981,0.5382,0.5403,0.5981,0.9488,0.8478,0.7321,0.8307,0.8399,0.7321,0.2202,0.283,0.1406,0.3562
19,0.4615,0.5452,0.5949,0.5364,0.5345,0.5949,0.9563,0.8533,0.75,0.8297,0.8473,0.75,0.2161,0.2871,0.1375,0.3593
