epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.7657,0.7623,0.6461,0.643,0.7043,0.7657,0.3148,0.3043,0.625,0.6887,0.4832,0.3043,0.25,0.25,0.25,0.25
1,0.6973,0.6925,0.6939,0.6898,0.6934,0.6973,0.5043,0.5326,0.5179,0.5184,0.5183,0.5043,0.25,0.25,0.25,0.25
2,0.6561,0.655,0.7153,0.7108,0.6843,0.7153,0.6309,0.6739,0.4643,0.4503,0.5549,0.4503,0.25,0.25,0.25,0.25
3,0.6384,0.6391,0.7108,0.7072,0.6739,0.7108,0.689,0.7011,0.4464,0.4711,0.5769,0.4464,0.25,0.25,0.25,0.25
4,0.6208,0.626,0.7029,0.7037,0.6634,0.7037,0.7416,0.7446,0.4821,0.4844,0.6132,0.4821,0.25,0.25,0.25,0.25
5,0.6117,0.6187,0.6986,0.6909,0.655,0.6986,0.7713,0.75,0.5,0.5326,0.6385,0.5,0.25,0.25,0.25,0.25
6,0.5956,0.6056,0.6954,0.6891,0.6464,0.6954,0.811,0.788,0.5,0.5412,0.6601,0.5,0.25,0.25,0.25,0.25
7,0.584,0.5987,0.6861,0.6813,0.6375,0.6861,0.8373,0.788,0.5536,0.5629,0.6855,0.5536,0.25,0.25,0.25,0.25
8,0.5729,0.5902,0.6788,0.6762,0.6295,0.6788,0.8565,0.8261,0.5179,0.5705,0.6927,0.5179,0.25,0.25,0.25,0.25
9,0.5699,0.5916,0.6675,0.6593,0.6221,0.6675,0.8582,0.8152,0.5893,0.6272,0.7225,0.5893,0.25,0.25,0.25,0.25
10,0.5512,0.5721,0.6718,0.6637,0.6147,0.6718,0.8908,0.8533,0.5893,0.6159,0.7373,0.5893,0.25,0.25,0.25,0.25
11,0.542,0.5688,0.6678,0.6566,0.6088,0.6678,0.9028,0.8641,0.5714,0.6358,0.7435,0.5714,0.25,0.25,0.25,0.25
12,0.5421,0.5697,0.6438,0.6396,0.5988,0.6438,0.8991,0.8424,0.6429,0.684,0.7671,0.6429,0.25,0.25,0.25,0.25
13,0.535,0.5663,0.6376,0.6318,0.5927,0.6376,0.9094,0.8478,0.6429,0.7133,0.7783,0.6429,0.25,0.25,0.25,0.25
14,0.5228,0.5547,0.6389,0.6312,0.5869,0.6389,0.9177,0.8641,0.6429,0.7001,0.7812,0.6429,0.25,0.25,0.25,0.25
15,0.5161,0.5534,0.6297,0.6221,0.5803,0.6297,0.9265,0.8641,0.6607,0.7294,0.7952,0.6607,0.25,0.25,0.25,0.25
16,0.5219,0.5631,0.6028,0.6002,0.572,0.6028,0.9137,0.8315,0.7321,0.7852,0.8156,0.7321,0.25,0.25,0.25,0.25
