epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.4128,0.5034,0.5295,0.5045,0.4875,0.5295,0.9111,0.8478,0.7143,0.7389,0.803,0.7143,0.2448,0.252,0.2495,0.2536
1,0.1913,0.1682,0.1192,0.2607,0.1848,0.2607,0.9488,0.962,0.9464,0.8988,0.939,0.8988,0.2455,0.2498,0.244,0.2606
2,0.0913,0.057,0.0386,0.1705,0.0894,0.1705,0.9814,1.0,1.0,0.9319,0.9783,0.9319,0.2458,0.247,0.2386,0.2686
3,0.0611,0.0385,0.0122,0.0923,0.051,0.0923,0.99,1.0,1.0,0.9622,0.988,0.9622,0.2467,0.2459,0.2349,0.2724
4,0.0369,0.0195,0.0072,0.0588,0.0306,0.0588,0.9943,1.0,1.0,0.9811,0.9938,0.9811,0.2473,0.245,0.2327,0.275
5,0.0277,0.0132,0.005,0.0347,0.0201,0.0347,0.9966,1.0,1.0,0.9905,0.9968,0.9905,0.248,0.2443,0.2313,0.2764
6,0.0215,0.01,0.0047,0.0277,0.016,0.0277,0.9977,1.0,1.0,0.9953,0.9982,0.9953,0.2486,0.2438,0.2302,0.2774
7,0.0154,0.0054,0.0037,0.0186,0.0108,0.0186,0.9989,1.0,1.0,0.9962,0.9988,0.9962,0.2491,0.2433,0.2296,0.2781
8,0.0138,0.0046,0.0021,0.0121,0.0081,0.0138,0.9997,1.0,1.0,0.9991,0.9997,0.9991,0.2496,0.243,0.229,0.2784
9,0.0132,0.005,0.0029,0.0126,0.0084,0.0132,0.9977,1.0,1.0,0.9991,0.9992,0.9977,0.25,0.2426,0.2285,0.2789
10,0.009,0.0025,0.0017,0.0104,0.0059,0.0104,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.2503,0.2424,0.2281,0.2792
11,0.009,0.0036,0.0015,0.0083,0.0056,0.009,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.2506,0.2422,0.2277,0.2794
12,0.0072,0.0021,0.0035,0.0099,0.0057,0.0099,1.0,1.0,1.0,0.9991,0.9998,0.9991,0.2508,0.2419,0.2275,0.2799
13,0.0074,0.0015,0.001,0.0051,0.0037,0.0074,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.2511,0.2417,0.2272,0.28
14,0.006,0.0017,0.001,0.005,0.0034,0.006,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.2514,0.2416,0.227,0.2801
15,0.0051,0.0014,0.0008,0.004,0.0028,0.0051,1.0,1.0,1.0,1.0,1.0,1.0,0.2516,0.2414,0.2268,0.2802
16,0.0041,0.0011,0.0008,0.0037,0.0024,0.0041,1.0,1.0,1.0,1.0,1.0,1.0,0.2517,0.2413,0.2267,0.2803
17,0.0041,0.0011,0.0057,0.0039,0.0037,0.0057,1.0,1.0,1.0,1.0,1.0,1.0,0.2518,0.2411,0.2267,0.2804
18,0.0055,0.0037,0.0004,0.0023,0.003,0.0055,1.0,1.0,1.0,1.0,1.0,1.0,0.252,0.2413,0.2265,0.2802
19,0.0035,0.0005,0.0007,0.0053,0.0025,0.0053,1.0,1.0,1.0,1.0,1.0,1.0,0.2521,0.2411,0.2263,0.2805
20,0.0037,0.0006,0.0006,0.0036,0.0022,0.0037,1.0,1.0,1.0,1.0,1.0,1.0,0.2522,0.2409,0.2262,0.2807
21,0.0041,0.0008,0.0005,0.0037,0.0023,0.0041,1.0,1.0,1.0,1.0,1.0,1.0,0.2524,0.2408,0.226,0.2808
