epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.4298,0.4967,0.5669,0.5203,0.5034,0.5669,0.8874,0.8261,0.6786,0.7209,0.7782,0.6786,0.25,0.25,0.25,0.25
1,0.1756,0.1907,0.165,0.2781,0.2024,0.2781,0.9494,0.9565,0.9464,0.8969,0.9373,0.8969,0.25,0.25,0.25,0.25
2,0.0917,0.0744,0.0268,0.1791,0.093,0.1791,0.982,0.9891,1.0,0.9262,0.9743,0.9262,0.25,0.25,0.25,0.25
3,0.052,0.0398,0.0134,0.0973,0.0506,0.0973,0.9926,1.0,1.0,0.965,0.9894,0.965,0.25,0.25,0.25,0.25
4,0.0347,0.0181,0.0101,0.0648,0.0319,0.0648,0.9943,1.0,1.0,0.9735,0.9919,0.9735,0.25,0.25,0.25,0.25
5,0.026,0.016,0.0045,0.0368,0.0208,0.0368,0.9971,1.0,1.0,0.9915,0.9972,0.9915,0.25,0.25,0.25,0.25
6,0.0194,0.0098,0.0044,0.0317,0.0163,0.0317,0.9977,1.0,1.0,0.9896,0.9968,0.9896,0.25,0.25,0.25,0.25
7,0.0168,0.0054,0.0029,0.0184,0.0109,0.0184,0.9989,1.0,1.0,1.0,0.9997,0.9989,0.25,0.25,0.25,0.25
8,0.0121,0.0054,0.0025,0.0132,0.0083,0.0132,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.25,0.25,0.25,0.25
9,0.0099,0.0034,0.0017,0.0158,0.0077,0.0158,1.0,1.0,1.0,0.9991,0.9998,0.9991,0.25,0.25,0.25,0.25
10,0.0089,0.0031,0.0014,0.0076,0.0052,0.0089,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.25,0.25,0.25,0.25
11,0.0098,0.0036,0.0023,0.0094,0.0063,0.0098,0.9991,1.0,1.0,1.0,0.9998,0.9991,0.25,0.25,0.25,0.25
12,0.0056,0.0013,0.0015,0.0088,0.0043,0.0088,0.9997,1.0,1.0,1.0,0.9999,0.9997,0.25,0.25,0.25,0.25
13,0.0058,0.0017,0.001,0.0058,0.0035,0.0058,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
14,0.0054,0.0014,0.001,0.0059,0.0034,0.0059,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
15,0.0048,0.0014,0.0008,0.0045,0.0029,0.0048,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
16,0.0044,0.0014,0.0009,0.0045,0.0028,0.0045,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
17,0.0041,0.0013,0.0015,0.0057,0.0031,0.0057,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
18,0.0046,0.001,0.0006,0.0036,0.0025,0.0046,0.9994,1.0,1.0,1.0,0.9999,0.9994,0.25,0.25,0.25,0.25
19,0.0038,0.0011,0.0006,0.0036,0.0023,0.0038,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
20,0.0029,0.0008,0.0006,0.0032,0.0019,0.0032,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
21,0.0031,0.0007,0.0007,0.0026,0.0018,0.0031,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
22,0.0025,0.0007,0.0006,0.0024,0.0016,0.0025,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
