epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.6755,0.6291,0.7119,0.7495,0.6915,0.7495,0.5786,0.6685,0.5179,0.3737,0.5347,0.3737,0.2437,0.2503,0.2525,0.2535
1,0.602,0.6093,0.5636,0.5809,0.5889,0.6093,0.7493,0.7174,0.7679,0.7843,0.7547,0.7174,0.2379,0.254,0.2596,0.2485
2,0.4621,0.4837,0.5229,0.557,0.5064,0.557,0.9254,0.8859,0.8393,0.7881,0.8597,0.7881,0.2275,0.2569,0.2668,0.2488
3,0.4207,0.4446,0.4202,0.4652,0.4377,0.4652,0.9237,0.9022,0.8929,0.8458,0.8911,0.8458,0.22,0.2604,0.2724,0.2472
4,0.3877,0.4109,0.3308,0.3927,0.3805,0.4109,0.9208,0.8967,0.8929,0.8808,0.8978,0.8808,0.2139,0.2637,0.2793,0.2431
5,0.3234,0.3075,0.2799,0.3906,0.3254,0.3906,0.9423,0.962,0.9286,0.859,0.923,0.859,0.2075,0.2655,0.2824,0.2446
6,0.2769,0.2602,0.2396,0.3722,0.2872,0.3722,0.9534,0.9783,0.9107,0.8628,0.9263,0.8628,0.2006,0.265,0.2868,0.2476
7,0.2776,0.2596,0.1826,0.3078,0.2569,0.3078,0.9457,0.962,0.9464,0.895,0.9373,0.895,0.1953,0.2673,0.2913,0.2461
8,0.2382,0.2068,0.1605,0.306,0.2279,0.306,0.9571,0.9837,0.9643,0.8817,0.9467,0.8817,0.1897,0.268,0.2952,0.2471
9,0.2232,0.1835,0.1257,0.2768,0.2023,0.2768,0.9571,0.9891,0.9821,0.8912,0.9549,0.8912,0.1847,0.2679,0.2999,0.2475
10,0.2097,0.1535,0.1033,0.2652,0.1829,0.2652,0.9571,0.9891,0.9821,0.8969,0.9563,0.8969,0.1801,0.2672,0.3042,0.2485
11,0.1882,0.1357,0.0904,0.2551,0.1674,0.2551,0.9646,0.9837,0.9821,0.8997,0.9575,0.8997,0.1752,0.2668,0.3078,0.2503
12,0.1758,0.1195,0.0759,0.24,0.1528,0.24,0.9703,0.9891,0.9821,0.8988,0.9601,0.8988,0.1705,0.2651,0.3127,0.2517
13,0.1816,0.1231,0.0583,0.2093,0.1431,0.2093,0.9628,1.0,0.9821,0.9186,0.9659,0.9186,0.1667,0.2645,0.3179,0.251
14,0.1651,0.103,0.0526,0.2134,0.1335,0.2134,0.9714,1.0,1.0,0.9177,0.9723,0.9177,0.1626,0.2628,0.3234,0.2512
15,0.1636,0.0956,0.0472,0.1893,0.1239,0.1893,0.9674,1.0,1.0,0.9262,0.9734,0.9262,0.1592,0.2613,0.3293,0.2502
16,0.1561,0.0861,0.0361,0.1809,0.1148,0.1809,0.968,1.0,1.0,0.9272,0.9738,0.9272,0.1555,0.2597,0.3361,0.2487
17,0.152,0.0787,0.0337,0.171,0.1089,0.171,0.9674,1.0,1.0,0.9281,0.9739,0.9281,0.152,0.2576,0.3431,0.2473
