epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.69,0.6508,0.7159,0.7658,0.7056,0.7658,0.5294,0.663,0.4821,0.3236,0.4995,0.3236,0.2523,0.2459,0.2422,0.2597
1,0.6828,0.6516,0.6985,0.745,0.6945,0.745,0.5477,0.663,0.5179,0.3765,0.5263,0.3765,0.2558,0.2434,0.2312,0.2696
2,0.6685,0.6456,0.6914,0.7304,0.684,0.7304,0.5932,0.7065,0.5893,0.4115,0.5751,0.4115,0.2568,0.2419,0.224,0.2772
3,0.6544,0.6432,0.6823,0.7142,0.6735,0.7142,0.6378,0.6793,0.5536,0.4541,0.5812,0.4541,0.2594,0.243,0.2111,0.2865
4,0.6297,0.6261,0.6866,0.7087,0.6628,0.7087,0.7038,0.7174,0.5893,0.4759,0.6216,0.4759,0.2589,0.2413,0.2051,0.2947
5,0.6229,0.6273,0.6653,0.6872,0.6507,0.6872,0.7267,0.7011,0.6429,0.5459,0.6541,0.5459,0.2594,0.2413,0.1968,0.3025
6,0.6038,0.6179,0.6707,0.6784,0.6427,0.6784,0.7773,0.7391,0.5893,0.5866,0.6731,0.5866,0.2602,0.2432,0.1844,0.3122
7,0.5872,0.6122,0.667,0.6695,0.634,0.6695,0.815,0.7174,0.5714,0.6197,0.6809,0.5714,0.258,0.2435,0.1792,0.3193
8,0.5798,0.6152,0.6532,0.6486,0.6242,0.6532,0.8245,0.7391,0.6429,0.6727,0.7198,0.6429,0.2562,0.2443,0.1742,0.3254
9,0.5755,0.6233,0.6434,0.625,0.6168,0.6434,0.8339,0.712,0.6607,0.7294,0.734,0.6607,0.2548,0.2453,0.1703,0.3296
10,0.5695,0.6244,0.6293,0.6065,0.6074,0.6293,0.8356,0.7065,0.7321,0.7673,0.7604,0.7065,0.2537,0.2494,0.1644,0.3326
11,0.5482,0.6057,0.6376,0.6079,0.5998,0.6376,0.8751,0.7446,0.6607,0.7569,0.7593,0.6607,0.2525,0.2536,0.1555,0.3384
12,0.5283,0.5942,0.6437,0.605,0.5928,0.6437,0.8994,0.7663,0.7143,0.755,0.7837,0.7143,0.2493,0.2573,0.1495,0.3439
13,0.5174,0.5891,0.6458,0.5978,0.5876,0.6458,0.9111,0.75,0.625,0.7682,0.7636,0.625,0.2455,0.2593,0.1463,0.3489
14,0.5141,0.5951,0.633,0.5778,0.58,0.633,0.9068,0.7772,0.7143,0.8004,0.7997,0.7143,0.2414,0.2628,0.1446,0.3512
15,0.5075,0.5945,0.6159,0.5649,0.5707,0.6159,0.9125,0.7554,0.75,0.8184,0.8091,0.75,0.2377,0.2668,0.142,0.3535
16,0.4989,0.5899,0.6098,0.5554,0.5635,0.6098,0.9217,0.75,0.75,0.8307,0.8131,0.75,0.2347,0.2704,0.1385,0.3564
17,0.4887,0.5862,0.6105,0.5455,0.5577,0.6105,0.9294,0.75,0.75,0.8344,0.816,0.75,0.2312,0.2749,0.1353,0.3586
18,0.4808,0.5793,0.6141,0.539,0.5533,0.6141,0.9342,0.7989,0.75,0.8401,0.8308,0.75,0.2271,0.2788,0.1342,0.3599
19,0.472,0.5724,0.5991,0.5352,0.5447,0.5991,0.9405,0.788,0.7679,0.8467,0.8358,0.7679,0.2232,0.2841,0.1311,0.3617
20,0.4605,0.5638,0.6069,0.5295,0.5402,0.6069,0.9457,0.7935,0.75,0.8458,0.8337,0.75,0.2178,0.2894,0.1304,0.3624
21,0.4545,0.5583,0.6007,0.5228,0.5341,0.6007,0.9448,0.7935,0.75,0.8553,0.8359,0.75,0.2132,0.2949,0.1281,0.3638
22,0.4463,0.5538,0.5929,0.5177,0.5277,0.5929,0.9494,0.7989,0.7321,0.8524,0.8332,0.7321,0.2084,0.2983,0.1278,0.3654
23,0.4396,0.5418,0.5976,0.5129,0.523,0.5976,0.9534,0.8261,0.7143,0.8553,0.8373,0.7143,0.2038,0.303,0.1261,0.3671
24,0.4343,0.5393,0.5894,0.5053,0.5171,0.5894,0.9537,0.8098,0.7143,0.8628,0.8351,0.7143,0.1988,0.3077,0.1258,0.3677
25,0.4264,0.5276,0.5782,0.5032,0.5089,0.5782,0.9551,0.8207,0.75,0.8562,0.8455,0.75,0.1935,0.3137,0.1244,0.3683
26,0.4188,0.5162,0.5834,0.4984,0.5042,0.5834,0.9591,0.8587,0.75,0.8534,0.8553,0.75,0.189,0.3185,0.122,0.3705
27,0.411,0.5146,0.5865,0.4957,0.502,0.5865,0.9614,0.8587,0.7321,0.8619,0.8535,0.7321,0.184,0.3232,0.1205,0.3722
28,0.406,0.5101,0.5764,0.4896,0.4955,0.5764,0.9648,0.8478,0.7857,0.8657,0.866,0.7857,0.179,0.3264,0.1211,0.3735
29,0.4065,0.5028,0.5572,0.4801,0.4866,0.5572,0.9565,0.8641,0.8036,0.8666,0.8727,0.8036,0.1745,0.3301,0.1213,0.374
30,0.4014,0.5015,0.5466,0.4733,0.4807,0.5466,0.9626,0.8641,0.7857,0.8628,0.8688,0.7857,0.1709,0.3341,0.119,0.376
31,0.3975,0.4957,0.5402,0.4692,0.4756,0.5402,0.96,0.8859,0.7679,0.8657,0.8698,0.7679,0.1673,0.3375,0.1177,0.3775
32,0.3941,0.485,0.5382,0.4649,0.4705,0.5382,0.9597,0.875,0.7857,0.8685,0.8722,0.7857,0.1633,0.343,0.1158,0.3779
33,0.3873,0.4767,0.5399,0.4654,0.4673,0.5399,0.9643,0.875,0.8036,0.8638,0.8767,0.8036,0.1595,0.3463,0.1146,0.3795
34,0.3825,0.4679,0.5247,0.462,0.4593,0.5247,0.9634,0.9022,0.8393,0.8694,0.8936,0.8393,0.1558,0.349,0.1137,0.3815
35,0.3809,0.4615,0.5346,0.4541,0.4578,0.5346,0.962,0.9076,0.8036,0.8742,0.8868,0.8036,0.1522,0.3518,0.1132,0.3828
36,0.3768,0.4564,0.5215,0.4493,0.451,0.5215,0.9657,0.9022,0.8036,0.877,0.8871,0.8036,0.1491,0.3556,0.11,0.3852
37,0.3715,0.4412,0.5173,0.4517,0.4454,0.5173,0.964,0.8967,0.8036,0.8628,0.8818,0.8036,0.1464,0.3565,0.1078,0.3892
38,0.3695,0.4418,0.5162,0.4398,0.4418,0.5162,0.9651,0.9076,0.8214,0.8761,0.8926,0.8214,0.1436,0.3591,0.1056,0.3917
39,0.367,0.443,0.5016,0.4336,0.4363,0.5016,0.9631,0.9076,0.8214,0.8713,0.8909,0.8214,0.1407,0.3613,0.1046,0.3935
40,0.3655,0.4363,0.4891,0.4251,0.429,0.4891,0.9628,0.913,0.8214,0.8732,0.8926,0.8214,0.138,0.3644,0.1036,0.3941
41,0.3641,0.4337,0.4928,0.4204,0.4278,0.4928,0.9628,0.9076,0.8393,0.878,0.8969,0.8393,0.1354,0.3664,0.1037,0.3945
42,0.3636,0.4253,0.4776,0.4134,0.42,0.4776,0.9626,0.9293,0.8571,0.8817,0.9077,0.8571,0.1329,0.3695,0.1035,0.3942
43,0.3569,0.4144,0.4777,0.4166,0.4164,0.4777,0.9623,0.9293,0.8571,0.8827,0.9079,0.8571,0.1306,0.3725,0.1009,0.396
44,0.3549,0.4117,0.479,0.41,0.4139,0.479,0.9626,0.9239,0.8571,0.8817,0.9063,0.8571,0.1287,0.3737,0.0995,0.3981
45,0.355,0.4108,0.4609,0.4035,0.4076,0.4609,0.96,0.9511,0.8393,0.8827,0.9083,0.8393,0.1271,0.3745,0.0981,0.4003
46,0.3531,0.4061,0.4557,0.3981,0.4032,0.4557,0.9591,0.9402,0.875,0.8921,0.9166,0.875,0.1253,0.3768,0.0974,0.4006
47,0.3504,0.3913,0.4543,0.3957,0.398,0.4543,0.9574,0.9457,0.8393,0.8912,0.9084,0.8393,0.1236,0.3779,0.0974,0.4012
48,0.3498,0.3932,0.445,0.3873,0.3938,0.445,0.9605,0.9239,0.8571,0.8884,0.9075,0.8571,0.1225,0.3788,0.0957,0.403
49,0.3465,0.381,0.4449,0.3828,0.3888,0.4449,0.9617,0.9565,0.8571,0.8865,0.9155,0.8571,0.1211,0.3787,0.0969,0.4033
50,0.3452,0.38,0.4299,0.382,0.3843,0.4299,0.9585,0.9457,0.875,0.8846,0.9159,0.875,0.1201,0.3797,0.0953,0.405
51,0.3432,0.3763,0.4284,0.3765,0.3811,0.4284,0.9603,0.9402,0.875,0.8912,0.9167,0.875,0.1192,0.3814,0.093,0.4064
52,0.3381,0.3709,0.4207,0.3731,0.3757,0.4207,0.9614,0.9348,0.875,0.8893,0.9151,0.875,0.1183,0.3822,0.0913,0.4083
53,0.3372,0.3655,0.4221,0.3712,0.374,0.4221,0.9597,0.9402,0.8571,0.8903,0.9118,0.8571,0.1173,0.3819,0.0917,0.4092
54,0.3367,0.3601,0.4158,0.3632,0.3689,0.4158,0.9583,0.9457,0.8571,0.895,0.914,0.8571,0.1162,0.383,0.0915,0.4093
55,0.3335,0.3552,0.4093,0.3609,0.3647,0.4093,0.9614,0.9402,0.875,0.8959,0.9181,0.875,0.1153,0.384,0.0913,0.4094
56,0.3341,0.3463,0.4078,0.355,0.3608,0.4078,0.9588,0.962,0.875,0.895,0.9227,0.875,0.1151,0.3836,0.0901,0.4113
57,0.3325,0.3489,0.4021,0.3483,0.358,0.4021,0.958,0.9565,0.8929,0.8969,0.9261,0.8929,0.1148,0.3833,0.0898,0.4122
58,0.3317,0.3481,0.3874,0.3522,0.3549,0.3874,0.9551,0.9402,0.8571,0.8893,0.9104,0.8571,0.1146,0.3836,0.0878,0.414
59,0.3281,0.3399,0.3977,0.345,0.3527,0.3977,0.962,0.9457,0.8929,0.8959,0.9241,0.8929,0.1144,0.3831,0.0872,0.4154
60,0.327,0.3358,0.3857,0.3436,0.348,0.3857,0.9608,0.9565,0.8929,0.8978,0.927,0.8929,0.1139,0.3832,0.0872,0.4156
61,0.3254,0.3256,0.379,0.3387,0.3422,0.379,0.9588,0.9674,0.8929,0.9016,0.9302,0.8929,0.1139,0.3832,0.0858,0.4171
62,0.3268,0.3254,0.3977,0.3372,0.3467,0.3977,0.9571,0.9565,0.8571,0.894,0.9162,0.8571,0.1141,0.3818,0.0851,0.4191
63,0.3261,0.3222,0.3643,0.3294,0.3355,0.3643,0.9554,0.962,0.8929,0.9026,0.9282,0.8929,0.1144,0.3808,0.0848,0.42
64,0.326,0.3204,0.3594,0.3231,0.3322,0.3594,0.9554,0.9511,0.8929,0.9073,0.9267,0.8929,0.1149,0.3806,0.0842,0.4203
65,0.3226,0.316,0.3644,0.323,0.3315,0.3644,0.9574,0.9728,0.8929,0.8997,0.9307,0.8929,0.1152,0.3811,0.0825,0.4212
66,0.321,0.3075,0.366,0.3206,0.3288,0.366,0.9565,0.9674,0.8929,0.8978,0.9287,0.8929,0.1159,0.3803,0.0806,0.4232
67,0.3202,0.3107,0.36,0.3163,0.3268,0.36,0.9574,0.962,0.8929,0.8988,0.9277,0.8929,0.1164,0.38,0.0799,0.4237
68,0.3169,0.3027,0.3608,0.3116,0.323,0.3608,0.9551,0.9674,0.8929,0.9101,0.9314,0.8929,0.1168,0.3787,0.0804,0.424
69,0.316,0.303,0.3491,0.3086,0.3192,0.3491,0.9571,0.9674,0.8929,0.9054,0.9307,0.8929,0.1177,0.3792,0.0779,0.4253
