epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.6272,0.6493,0.7279,0.7049,0.6773,0.7279,0.7133,0.7337,0.4821,0.4891,0.6046,0.4821,0.2478,0.2492,0.2516,0.2515
1,0.635,0.6613,0.7103,0.685,0.6729,0.7103,0.6953,0.712,0.4821,0.5563,0.6114,0.4821,0.2466,0.2493,0.2514,0.2527
2,0.6408,0.6674,0.69,0.6663,0.6661,0.69,0.677,0.6576,0.5357,0.6102,0.6201,0.5357,0.2457,0.2494,0.252,0.2529
3,0.6442,0.6719,0.6758,0.6513,0.6608,0.6758,0.673,0.6304,0.5714,0.6575,0.6331,0.5714,0.2449,0.2502,0.2525,0.2525
4,0.6456,0.6737,0.6603,0.6388,0.6546,0.6737,0.6687,0.6359,0.6429,0.6802,0.6569,0.6359,0.2447,0.2518,0.2515,0.252
5,0.6413,0.6712,0.6513,0.6329,0.6492,0.6712,0.6781,0.6413,0.6786,0.7039,0.6755,0.6413,0.2442,0.2528,0.2519,0.2511
6,0.6377,0.6653,0.6421,0.6274,0.6431,0.6653,0.6893,0.6467,0.6786,0.7152,0.6824,0.6467,0.2443,0.2543,0.2507,0.2506
7,0.63,0.6582,0.6356,0.6266,0.6376,0.6582,0.7121,0.6685,0.7321,0.7124,0.7063,0.6685,0.2442,0.2554,0.25,0.2504
8,0.6223,0.6494,0.6372,0.6243,0.6333,0.6494,0.7233,0.7174,0.7143,0.7219,0.7192,0.7143,0.244,0.2565,0.2493,0.2503
9,0.615,0.6463,0.6358,0.6228,0.63,0.6463,0.743,0.712,0.7321,0.7237,0.7277,0.712,0.2437,0.2577,0.2482,0.2504
10,0.6075,0.6344,0.6257,0.6201,0.6219,0.6344,0.7636,0.7283,0.75,0.7209,0.7407,0.7209,0.2434,0.2587,0.2471,0.2507
11,0.6004,0.6272,0.6242,0.6183,0.6175,0.6272,0.773,0.7283,0.7321,0.7275,0.7402,0.7275,0.2428,0.2592,0.2472,0.2508
12,0.5956,0.6224,0.6214,0.615,0.6136,0.6224,0.7839,0.7609,0.7679,0.7332,0.7615,0.7332,0.2423,0.26,0.2465,0.2513
13,0.59,0.6181,0.6176,0.6138,0.6099,0.6181,0.7945,0.7772,0.75,0.7389,0.7651,0.7389,0.2421,0.2614,0.2442,0.2523
14,0.5804,0.609,0.6158,0.6145,0.6049,0.6158,0.819,0.7935,0.7679,0.7285,0.7772,0.7285,0.2416,0.2623,0.2426,0.2534
15,0.5739,0.5997,0.609,0.6122,0.5987,0.6122,0.8256,0.8207,0.8036,0.7332,0.7958,0.7332,0.2408,0.263,0.2418,0.2544
16,0.5698,0.5985,0.6059,0.6072,0.5954,0.6072,0.829,0.8152,0.7857,0.7446,0.7936,0.7446,0.2405,0.2639,0.2397,0.2559
17,0.562,0.5864,0.607,0.6091,0.5911,0.6091,0.8359,0.8207,0.7857,0.7389,0.7953,0.7389,0.2395,0.2643,0.2391,0.2572
18,0.5565,0.5823,0.6036,0.6059,0.5871,0.6059,0.8485,0.8478,0.8036,0.7379,0.8095,0.7379,0.2384,0.2642,0.2389,0.2584
19,0.557,0.5854,0.5919,0.5968,0.5828,0.5968,0.8479,0.8424,0.8036,0.7606,0.8136,0.7606,0.2374,0.2643,0.239,0.2593
20,0.558,0.586,0.5781,0.587,0.5773,0.587,0.8422,0.8478,0.8036,0.7729,0.8166,0.7729,0.2365,0.2647,0.2391,0.2597
21,0.5574,0.5845,0.5715,0.5806,0.5735,0.5845,0.8431,0.8315,0.8214,0.7815,0.8194,0.7815,0.2362,0.2654,0.2379,0.2605
22,0.5541,0.5814,0.5662,0.5756,0.5693,0.5814,0.8459,0.8315,0.8036,0.7956,0.8192,0.7956,0.2358,0.2662,0.2368,0.2612
23,0.5494,0.5794,0.5609,0.5714,0.5653,0.5794,0.8525,0.8315,0.8393,0.7994,0.8307,0.7994,0.2352,0.2668,0.2364,0.2616
24,0.5461,0.5753,0.5564,0.5667,0.5611,0.5753,0.8562,0.8261,0.8214,0.7975,0.8253,0.7975,0.2347,0.2675,0.2358,0.262
25,0.5428,0.5695,0.55,0.5625,0.5562,0.5695,0.8551,0.8261,0.8214,0.8079,0.8276,0.8079,0.2339,0.2681,0.2359,0.2621
26,0.5394,0.5657,0.5444,0.5592,0.5522,0.5657,0.8619,0.8424,0.8571,0.8136,0.8438,0.8136,0.2339,0.2694,0.2338,0.263
27,0.533,0.5593,0.5418,0.559,0.5483,0.5593,0.8659,0.8478,0.8571,0.8061,0.8442,0.8061,0.2337,0.2705,0.2316,0.2642
28,0.5246,0.5533,0.5419,0.5604,0.545,0.5604,0.8756,0.8478,0.8571,0.8004,0.8452,0.8004,0.2329,0.2714,0.2308,0.265
29,0.5203,0.5452,0.5363,0.5584,0.5401,0.5584,0.8814,0.8804,0.8571,0.8051,0.856,0.8051,0.2325,0.2723,0.2287,0.2665
30,0.5139,0.5406,0.5383,0.5588,0.5379,0.5588,0.8917,0.8804,0.8571,0.7975,0.8567,0.7975,0.2318,0.273,0.2275,0.2678
31,0.5098,0.5364,0.5323,0.5548,0.5333,0.5548,0.8922,0.8859,0.8571,0.8042,0.8598,0.8042,0.2308,0.2732,0.227,0.269
32,0.5074,0.5342,0.5247,0.5487,0.5287,0.5487,0.8917,0.8859,0.8571,0.8155,0.8625,0.8155,0.2302,0.2737,0.2258,0.2703
33,0.5046,0.5255,0.5212,0.547,0.5246,0.547,0.8948,0.875,0.8571,0.8108,0.8594,0.8108,0.2297,0.2744,0.224,0.2719
34,0.5006,0.5251,0.5185,0.542,0.5215,0.542,0.8971,0.875,0.8571,0.8184,0.8619,0.8184,0.2288,0.2746,0.2236,0.2729
35,0.498,0.5238,0.5109,0.5389,0.5179,0.5389,0.8965,0.8804,0.875,0.8136,0.8664,0.8136,0.2284,0.2754,0.2216,0.2746
36,0.4962,0.5179,0.5052,0.5334,0.5132,0.5334,0.8991,0.8913,0.875,0.824,0.8724,0.824,0.2272,0.2752,0.2225,0.2751
37,0.4964,0.5215,0.4991,0.5252,0.5106,0.5252,0.8908,0.8804,0.8929,0.8382,0.8756,0.8382,0.2265,0.2754,0.2224,0.2757
38,0.4942,0.5206,0.4918,0.5219,0.5071,0.5219,0.8957,0.8804,0.8929,0.8392,0.877,0.8392,0.226,0.2761,0.2214,0.2765
39,0.4911,0.5171,0.487,0.5174,0.5032,0.5174,0.8971,0.8913,0.875,0.8401,0.8759,0.8401,0.2255,0.2769,0.2203,0.2772
