epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.7772,0.6851,0.6185,0.6801,0.6902,0.7772,0.3122,0.5815,0.7679,0.5676,0.5573,0.3122,0.25,0.25,0.25,0.25
1,0.758,0.6675,0.6266,0.6875,0.6849,0.758,0.3565,0.6359,0.75,0.5535,0.574,0.3565,0.25,0.25,0.25,0.25
2,0.7364,0.6491,0.6302,0.6958,0.6779,0.7364,0.4062,0.7174,0.75,0.5222,0.599,0.4062,0.25,0.25,0.25,0.25
3,0.7225,0.6385,0.6355,0.695,0.6729,0.7225,0.4377,0.7609,0.7321,0.5184,0.6123,0.4377,0.25,0.25,0.25,0.25
4,0.713,0.6333,0.6313,0.6904,0.667,0.713,0.4711,0.7609,0.7321,0.5345,0.6247,0.4711,0.25,0.25,0.25,0.25
5,0.7046,0.6307,0.6179,0.6845,0.6594,0.7046,0.4931,0.7717,0.7679,0.5572,0.6475,0.4931,0.25,0.25,0.25,0.25
6,0.6989,0.626,0.613,0.676,0.6535,0.6989,0.5132,0.7717,0.7857,0.5837,0.6636,0.5132,0.25,0.25,0.25,0.25
7,0.6848,0.6169,0.6151,0.6776,0.6486,0.6848,0.5443,0.788,0.8036,0.5913,0.6818,0.5443,0.25,0.25,0.25,0.25
8,0.6739,0.6098,0.6167,0.6767,0.6443,0.6767,0.578,0.8043,0.7857,0.5922,0.6901,0.578,0.25,0.25,0.25,0.25
9,0.666,0.6042,0.6106,0.6716,0.6381,0.6716,0.5955,0.8043,0.8036,0.6093,0.7032,0.5955,0.25,0.25,0.25,0.25
10,0.66,0.6016,0.6033,0.6648,0.6324,0.6648,0.6141,0.8152,0.8036,0.631,0.716,0.6141,0.25,0.25,0.25,0.25
11,0.6523,0.5973,0.5979,0.6601,0.6269,0.6601,0.6398,0.8098,0.8393,0.6395,0.7321,0.6395,0.25,0.25,0.25,0.25
12,0.6454,0.5945,0.5954,0.6557,0.6228,0.6557,0.6569,0.8152,0.8393,0.6594,0.7427,0.6569,0.25,0.25,0.25,0.25
13,0.641,0.5902,0.5872,0.649,0.6168,0.649,0.6675,0.8043,0.8393,0.6774,0.7471,0.6675,0.25,0.25,0.25,0.25
14,0.6353,0.589,0.5823,0.643,0.6124,0.643,0.6778,0.8098,0.875,0.6897,0.7631,0.6778,0.25,0.25,0.25,0.25
15,0.6323,0.5848,0.58,0.6345,0.6079,0.6345,0.6867,0.8261,0.8571,0.7162,0.7715,0.6867,0.25,0.25,0.25,0.25
16,0.6294,0.5873,0.5663,0.6268,0.6024,0.6294,0.6944,0.8098,0.875,0.7256,0.7762,0.6944,0.25,0.25,0.25,0.25
17,0.6255,0.5866,0.5631,0.6205,0.5989,0.6255,0.7047,0.8207,0.8929,0.7446,0.7907,0.7047,0.25,0.25,0.25,0.25
18,0.6189,0.5786,0.5587,0.617,0.5933,0.6189,0.7176,0.8261,0.9107,0.7474,0.8004,0.7176,0.25,0.25,0.25,0.25
19,0.6112,0.5749,0.553,0.6128,0.588,0.6128,0.7341,0.8207,0.9286,0.7588,0.8105,0.7341,0.25,0.25,0.25,0.25
20,0.6068,0.5724,0.5484,0.6099,0.5844,0.6099,0.7461,0.8207,0.9107,0.7597,0.8093,0.7461,0.25,0.25,0.25,0.25
21,0.6,0.5668,0.5456,0.6052,0.5794,0.6052,0.7561,0.837,0.9107,0.7644,0.8171,0.7561,0.25,0.25,0.25,0.25
22,0.5909,0.5605,0.5464,0.6053,0.5758,0.6053,0.7804,0.8424,0.9107,0.7663,0.825,0.7663,0.25,0.25,0.25,0.25
23,0.5853,0.5558,0.5414,0.6015,0.571,0.6015,0.7819,0.8424,0.9107,0.7701,0.8263,0.7701,0.25,0.25,0.25,0.25
24,0.5797,0.5526,0.5394,0.5981,0.5674,0.5981,0.7982,0.837,0.9107,0.7739,0.8299,0.7739,0.25,0.25,0.25,0.25
25,0.5761,0.5493,0.5286,0.5913,0.5613,0.5913,0.8027,0.8478,0.9286,0.789,0.842,0.789,0.25,0.25,0.25,0.25
26,0.5716,0.5486,0.5311,0.5868,0.5595,0.5868,0.8099,0.8315,0.9107,0.79,0.8355,0.79,0.25,0.25,0.25,0.25
27,0.5634,0.5407,0.5293,0.5858,0.5548,0.5858,0.8199,0.837,0.9286,0.7919,0.8443,0.7919,0.25,0.25,0.25,0.25
28,0.5597,0.5382,0.52,0.5814,0.5499,0.5814,0.8273,0.8315,0.9286,0.7947,0.8455,0.7947,0.25,0.25,0.25,0.25
29,0.5561,0.5357,0.5185,0.5746,0.5462,0.5746,0.8276,0.8533,0.9107,0.8013,0.8482,0.8013,0.25,0.25,0.25,0.25
