epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
0,0.6979,0.6704,0.7522,0.7333,0.7134,0.7522,0.5114,0.6304,0.3571,0.3926,0.4729,0.3571,0.25,0.25,0.25,0.25
1,0.6529,0.644,0.6796,0.6695,0.6615,0.6796,0.6558,0.6793,0.5,0.5979,0.6083,0.5,0.25,0.25,0.25,0.25
2,0.617,0.6234,0.6004,0.596,0.6092,0.6234,0.7484,0.7228,0.6964,0.7928,0.7401,0.6964,0.25,0.25,0.25,0.25
3,0.5531,0.5699,0.5687,0.568,0.5649,0.5699,0.8511,0.7989,0.7857,0.8042,0.81,0.7857,0.25,0.25,0.25,0.25
4,0.5168,0.5373,0.5131,0.5234,0.5226,0.5373,0.8816,0.8261,0.7857,0.8581,0.8379,0.7857,0.25,0.25,0.25,0.25
5,0.4871,0.5101,0.4599,0.4854,0.4856,0.5101,0.8914,0.8261,0.8393,0.8675,0.8561,0.8261,0.25,0.25,0.25,0.25
6,0.4381,0.4542,0.4345,0.4745,0.4503,0.4745,0.92,0.9022,0.8571,0.8534,0.8832,0.8534,0.25,0.25,0.25,0.25
7,0.4019,0.4221,0.3986,0.447,0.4174,0.447,0.9308,0.9076,0.875,0.859,0.8931,0.859,0.25,0.25,0.25,0.25
8,0.3771,0.3897,0.3593,0.4182,0.3861,0.4182,0.9354,0.913,0.8929,0.8685,0.9024,0.8685,0.25,0.25,0.25,0.25
9,0.3547,0.3679,0.3193,0.3912,0.3583,0.3912,0.9405,0.9348,0.9107,0.8761,0.9155,0.8761,0.25,0.25,0.25,0.25
10,0.3308,0.3401,0.2919,0.3717,0.3336,0.3717,0.9437,0.9565,0.9286,0.8846,0.9283,0.8846,0.25,0.25,0.25,0.25
11,0.3021,0.3044,0.2649,0.3606,0.308,0.3606,0.9511,0.9674,0.9286,0.8836,0.9327,0.8836,0.25,0.25,0.25,0.25
12,0.2705,0.2755,0.2553,0.3566,0.2895,0.3566,0.9605,0.9783,0.9107,0.8761,0.9314,0.8761,0.25,0.25,0.25,0.25
13,0.2628,0.2632,0.2179,0.3268,0.2677,0.3268,0.956,0.9728,0.9286,0.8836,0.9353,0.8836,0.25,0.25,0.25,0.25
14,0.2493,0.247,0.2014,0.3101,0.252,0.3101,0.958,0.9837,0.9286,0.8921,0.9406,0.8921,0.25,0.25,0.25,0.25
15,0.2225,0.2109,0.1854,0.3136,0.2331,0.3136,0.9691,0.9783,0.9286,0.8836,0.9399,0.8836,0.25,0.25,0.25,0.25
16,0.2095,0.1984,0.1771,0.3052,0.2226,0.3052,0.9677,0.9891,0.9107,0.8884,0.939,0.8884,0.25,0.25,0.25,0.25
17,0.1989,0.1878,0.1588,0.2909,0.2091,0.2909,0.9706,0.9783,0.9286,0.8903,0.9419,0.8903,0.25,0.25,0.25,0.25
18,0.1936,0.1829,0.1432,0.275,0.1987,0.275,0.972,0.9837,0.9286,0.8921,0.9441,0.8921,0.25,0.25,0.25,0.25
19,0.1824,0.1701,0.1348,0.2748,0.1905,0.2748,0.9717,0.9946,0.9286,0.8884,0.9458,0.8884,0.25,0.25,0.25,0.25
20,0.1741,0.16,0.1192,0.2606,0.1785,0.2606,0.9757,0.9891,0.9643,0.9007,0.9574,0.9007,0.25,0.25,0.25,0.25
21,0.1649,0.1437,0.1097,0.2597,0.1695,0.2597,0.9757,0.9891,0.9821,0.8931,0.96,0.8931,0.25,0.25,0.25,0.25
22,0.1612,0.1403,0.0996,0.2419,0.1608,0.2419,0.9766,1.0,0.9821,0.9063,0.9663,0.9063,0.25,0.25,0.25,0.25
23,0.1524,0.131,0.0897,0.2414,0.1536,0.2414,0.98,1.0,0.9821,0.9016,0.9659,0.9016,0.25,0.25,0.25,0.25
24,0.1543,0.1306,0.0788,0.2264,0.1475,0.2264,0.9766,1.0,0.9821,0.9082,0.9667,0.9082,0.25,0.25,0.25,0.25
25,0.1468,0.121,0.0716,0.2192,0.1397,0.2192,0.9794,1.0,0.9821,0.9139,0.9689,0.9139,0.25,0.25,0.25,0.25
26,0.1394,0.1116,0.0672,0.2207,0.1347,0.2207,0.978,1.0,0.9821,0.9101,0.9676,0.9101,0.25,0.25,0.25,0.25
27,0.1328,0.1042,0.0577,0.2176,0.1281,0.2176,0.9808,1.0,0.9821,0.9111,0.9685,0.9111,0.25,0.25,0.25,0.25
28,0.1296,0.1021,0.0577,0.2079,0.1243,0.2079,0.9808,1.0,0.9821,0.9149,0.9695,0.9149,0.25,0.25,0.25,0.25
29,0.1235,0.0906,0.0538,0.2033,0.1178,0.2033,0.9834,1.0,0.9821,0.9177,0.9708,0.9177,0.25,0.25,0.25,0.25
30,0.1202,0.0923,0.048,0.1983,0.1147,0.1983,0.9826,1.0,0.9821,0.9139,0.9697,0.9139,0.25,0.25,0.25,0.25
